Date,Species,"Size ("")",Sex,Price ,Currency,Country of origin,Shop,Comment
2013-06-07,Brachypelma albiceps,0.25,N/A,10,$,N/A,Tarantula Canada,
2014-10-12,Brachypelma albiceps,0.25,N/A,10,$,N/A,Tarantula Canada,
2013-08-13,Brachypelma albiceps,0.25,N/A,10,$,N/A,Tarantula Canada,
2013-09-14,Brachypelma albiceps,0.25,N/A,10,$,N/A,Tarantula Canada,
2013-07-17,Brachypelma albiceps,0.25,N/A,10,$,N/A,Tarantula Canada,
2014-02-20,Brachypelma albiceps,0.25,N/A,10,$,N/A,Tarantula Canada,
2015-04-20,Brachypelma albiceps,0.33,N/A,10,$,N/A,Tarantula Canada,
2015-05-20,Brachypelma albiceps,0.33,N/A,10,$,N/A,Tarantula Canada,
2015-06-22,Brachypelma albiceps,0.33,N/A,10,$,N/A,Tarantula Canada,
2013-10-22,Brachypelma albiceps,0.25,N/A,10,$,N/A,Tarantula Canada,
2015-07-23,Brachypelma albiceps,0.33,N/A,10,$,N/A,Tarantula Canada,
2015-08-23,Brachypelma albiceps,0.33,N/A,10,$,N/A,Tarantula Canada,
2014-08-24,Brachypelma albiceps,0.25,N/A,10,$,N/A,Tarantula Canada,
2014-06-28,Brachypelma albiceps,0.25,N/A,10,$,N/A,Tarantula Canada,
2019-03-01,Brachypelma albopilosum,0.25,N/A,10,$,N/A,Tarantula Canada,
2019-04-02,Brachypelma albopilosum,0.25,N/A,10,$,N/A,Tarantula Canada,
2019-05-03,Brachypelma albopilosum,0.25,N/A,10,$,N/A,Tarantula Canada,
2019-06-03,Brachypelma albopilosum,0.25,N/A,10,$,N/A,Tarantula Canada,
2019-08-03,Brachypelma albopilosum,0.25,N/A,10,$,N/A,Tarantula Canada,
2019-09-04,Brachypelma albopilosum,0.25,N/A,10,$,N/A,Tarantula Canada,
2018-10-15,Brachypelma albopilosum,0.25,N/A,10,$,N/A,Tarantula Canada,
2018-04-25,Brachypelma albopilosum,0.75,N/A,10,$,N/A,Tarantula Canada,
